Series_reference,Period,Data_value,STATUS_status,UNITS_units,Subject_subject,Group_grp,Series_title_1,UniqueNumber
CPIQ.SE901,1955.06,43.80495137,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,165
CPIQ.SE901,1955.09,43.64449316,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,166
CPIQ.SE901,1955.12,43.45729255,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,167
CPIQ.SE901,1956.03,44.08200836,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,168
CPIQ.SE901,1956.06,45.29806307,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,169
CPIQ.SE901,1956.09,47.42616033,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,170
CPIQ.SE901,1956.12,46.81813298,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,171
CPIQ.SE901,1957.03,44.51631383,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,172
CPIQ.SE901,1957.06,45.90609119,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,173
CPIQ.SE901,1957.09,46.29696581,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,174
CPIQ.SE901,1957.12,46.4272576,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,175
CPIQ.SE901,1958.03,45.90609119,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,176
CPIQ.SE901,1958.06,46.4272576,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,177
CPIQ.SE901,1958.09,46.55754939,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,178
CPIQ.SE901,1958.12,47.12214666,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,179
CPIQ.SE901,1959.03,46.68784119,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,180
CPIQ.SE901,1959.06,46.47068845,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,181
CPIQ.SE901,1959.09,46.81813298,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,182
CPIQ.SE901,1959.12,47.16557675,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,183
CPIQ.SE901,1960.03,46.51411854,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,184
CPIQ.SE901,1960.06,46.38382751,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,185
CPIQ.SE901,1960.09,47.86046581,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,186
CPIQ.SE901,1960.12,48.98966033,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,187
CPIQ.SE901,1961.03,47.68674392,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,188
CPIQ.SE901,1961.06,46.99185486,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,189
CPIQ.SE901,1961.09,48.25134119,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,190
CPIQ.SE901,1961.12,48.55535486,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,191
CPIQ.SE901,1962.03,48.12104939,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,192
CPIQ.SE901,1962.06,47.73017401,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,193
CPIQ.SE901,1962.09,48.20791033,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,194
CPIQ.SE901,1962.12,48.55535486,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,195
CPIQ.SE901,1963.03,48.20791033,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,196
CPIQ.SE901,1963.06,48.51192401,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,197
CPIQ.SE901,1963.09,49.25024316,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,198
CPIQ.SE901,1963.12,50.29257675,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,199
CPIQ.SE901,1964.03,50.37943769,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,200
CPIQ.SE901,1964.06,51.0308959,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,201
CPIQ.SE901,1964.09,52.55096505,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,202
CPIQ.SE901,1964.12,53.54986778,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,203
CPIQ.SE901,1965.03,53.07213222,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,204
